3.016647820932608681e+01	2.751195670322986331e+01	2.930975003390209466e+01	3.166532047146753115e+01	3.147128875134811565e+01	2.163938819426745397e+01	2.518238062682255318e+01	3.268260966692109548e+01	2.951151187674689069e+01	2.677246482850461717e+01
2.748532492199863242e+01	3.125336787771252389e+01	2.874429350183127951e+01	3.587817663189612460e+01	3.281284559998753991e+01	2.883433009332451746e+01	2.925445245044345199e+01	3.035928982794411723e+01	2.219655763705254259e+01	3.644793807193745039e+01
3.001347432115701963e+01	3.193607917728495593e+01	3.443955928822745705e+01	3.393881188679335992e+01	2.992433775385549310e+01	2.993235300315727798e+01	3.085402674390194377e+01	3.356020674594029884e+01	3.230649764415424130e+01	3.262853015966759784e+01
3.022312840278920021e+01	2.788054715533040806e+01	2.849747546851520141e+01	3.164062575130142108e+01	3.028483645773381028e+01	2.991423089474248087e+01	3.137477105368198593e+01	2.832662173243070214e+01	3.143828427793525293e+01	2.608218356986546738e+01
3.140525223865607884e+01	3.196956869134458401e+01	3.097587358134303415e+01	3.167327406044747917e+01	2.789101140663308342e+01	3.243219204123496269e+01	2.725240655171905857e+01	3.210244323133276367e+01	2.960186558733556694e+01	2.976439958647985051e+01
3.334594007285065231e+01	2.631523500768308566e+01	2.892008053011462465e+01	3.212543289637793009e+01	3.320537983804116777e+01	3.119024300144189255e+01	3.156630060392915382e+01	2.849988011216955996e+01	3.238291242526578628e+01	3.078946211638662689e+01
3.257617432894449649e+01	3.184102010424169649e+01	2.794975893308513903e+01	3.356768277111646626e+01	3.021273767531428334e+01	3.313559819642965465e+01	2.986016373112116185e+01	3.119014824176306178e+01	3.083242893273808249e+01	3.319489579177194116e+01
3.315236771612913458e+01	3.186896948985282663e+01	3.275190621179789474e+01	3.140581640827532794e+01	3.103727184359970082e+01	2.809990325118954146e+01	3.099025689488225765e+01	2.872421433963599924e+01	3.117904904264349142e+01	3.257874630660553095e+01
3.057031711729124268e+01	3.066065628766621032e+01	3.078689775902853043e+01	3.068562752560455564e+01	3.045511134786926633e+01	2.967576470156246415e+01	2.896673999172344693e+01	3.149711293312739002e+01	2.991407519856786124e+01	3.133909845393450055e+01
3.044987345777917653e+01	2.963598415984448309e+01	2.931636889155879544e+01	3.035570934641015128e+01	3.146957182735129521e+01	3.042566330664169527e+01	3.063434691155075740e+01	3.029867202424438233e+01	3.165828336514173103e+01	3.120378332957202261e+01
3.081020364693460678e+01	3.068960758010740975e+01	3.185284894076351492e+01	3.139733029485474347e+01	3.077007639832779162e+01	3.203820561428009484e+01	3.212150440436956700e+01	3.420361611516650413e+01	3.143634929993282867e+01	3.007577572751891992e+01
3.180681852517354358e+01	3.133720578358401099e+01	3.058940539912004297e+01	3.153993754228102020e+01	3.042485792663282140e+01	3.183742796917203322e+01	3.098664769724812373e+01	3.029618187231766768e+01	2.967251239769725046e+01	3.104850822398312005e+01
3.016398859519016185e+01	3.128416981587987422e+01	3.010707832899485936e+01	3.107813462438230800e+01	3.266644603393405077e+01	3.137759138378004309e+01	3.106574698880747576e+01	2.975119241446603269e+01	3.108700897529416451e+01	3.075696868876613621e+01
3.132475926866180416e+01	3.132475926866180416e+01	3.132475926866180416e+01	3.132475926866180416e+01	3.132475926866180416e+01	3.132475926866180416e+01	3.132475926866180416e+01	3.132475926866180416e+01	3.132475926866180416e+01	3.132475926866180416e+01
